"#name,fg,bg,hl-fg,hl-bg,cur-fg,cur-bg,ansi-0,ansi-1,ansi-2,ansi-3,ansi-4,ansi-5,ansi-6,ansi-7,ansi-8,ansi-9,ansi-10,ansi-11,ansi-12,ansi-13,ansi-14,ansi-15"
arthur,#ddeedd,#1c1c1c,#ffffff,#4d4d4d,#1c1c1c,#e2bbef,#3d352a,#cd5c5c,#86af80,#e8ae5b,#6495ed,#deb887,#b0c4de,#bbaa99,#554444,#cc5533,#88aa22,#ffa75d,#87ceeb,#996600,#b0c4de,#ddccbb
ateliersulphurpool,#979db4,#202746,#979db4,#5e6687,#202746,#979db4,#202746,#c94922,#ac9739,#c08b30,#3d8fd1,#6679cc,#22a2c9,#979db4,#6b7394,#c76b29,#293256,#5e6687,#898ea4,#dfe2f1,#9c637a,#f5f7ff
atom,#c5c8c6,#161719,#c5c8c6,#444444,#161719,#d0d0d0,#000000,#fd5ff1,#87c38a,#ffd7b1,#85befd,#b9b6fc,#85befd,#e0e0e0,#000000,#fd5ff1,#94fa36,#f5ffa8,#96cbfe,#b9b6fc,#85befd,#e0e0e0
atomonelight,#2a2c33,#f9f9f9,#2a2c33,#ededed,#2a2c33,#bbbbbb,#bbbbbb,#de3e35,#3f953a,#d2b67c,#2f5af3,#950095,#3f953a,#000000,#ffffff,#de3e35,#3f953a,#d2b67c,#2f5af3,#a00095,#3f953a,#000000
aura,#edecee,#15141b,#edecee,#a277ff,#15141b,#a277ff,#110f18,#ff6767,#61ffca,#ffca85,#a277ff,#a277ff,#61ffca,#edecee,#4d4d4d,#ffca85,#a277ff,#ffca85,#a277ff,#a277ff,#61ffca,#edecee
aurora,#ffca28,#23262e,#00e8c6,#292e38,#23262e,#ee5d43,#23262e,#f0266f,#8fd46d,#ffe66d,#0321d7,#ee5d43,#03d6b8,#c74ded,#292e38,#f92672,#8fd46d,#ffe66d,#03d6b8,#ee5d43,#03d6b8,#c74ded
ayu,#e6e1cf,#0f1419,#e6e1cf,#253340,#0f1419,#f29718,#000000,#ff3333,#b8cc52,#e7c547,#36a3d9,#f07178,#95e6cb,#ffffff,#323232,#ff6565,#eafe84,#fff779,#68d5ff,#ffa3aa,#c7fffd,#ffffff
ayu-light,#5c6773,#fafafa,#5c6773,#f0eee4,#fafafa,#ff6a00,#ffffff,#ff3333,#86b300,#f29718,#41a6d9,#f07178,#4dbf99,#000000,#ffffff,#ff6565,#b8e532,#ffc94a,#73d8ff,#ffa3aa,#7ff1cb,#323232
ayu-mirage,#cccac2,#242936,#242936,#cccac2,#ffcc66,#665a44,#242936,#f28779,#d5ff80,#ffd173,#73d0ff,#dfbfff,#5ccfe6,#cccac2,#5c6166,#f07171,#86b300,#f2ae49,#399ee6,#a37acc,#55b4d4,#fcfcfc
banana-blueberry,#cccccc,#191323,#f4f4f4,#220525,#191323,#e07d13,#17141f,#ff6b7f,#00bd9c,#e6c62f,#22e8df,#dc396a,#56b6c2,#f1f1f1,#495162,#fe9ea1,#98c379,#f9e46b,#91fff4,#da70d6,#bcf3ff,#ffffff
batman,#6f6f6f,#1b1d1e,#f0e04a,#4d504c,#1b1d1e,#fcef0c,#1b1d1e,#e6dc44,#c8be46,#f4fd22,#737174,#747271,#62605f,#c6c5bf,#505354,#fff78e,#fff27d,#feed6c,#919495,#9a9a9d,#a3a3a6,#dadbd6
belafonte-day,#45373c,#d5ccba,#45373c,#968c83,#d5ccba,#45373c,#968c83,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#20111b,#d5ccba,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#5e5252
belafonte-night,#968c83,#20111b,#968c83,#45373c,#20111b,#968c83,#20111b,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#968c83,#5e5252,#be100e,#858162,#eaa549,#426a79,#97522c,#989a9c,#d5ccba
birdsofparadise,#e0dbb7,#2a1f1d,#e0dbbb,#563c27,#e0dbbb,#573d26,#573d26,#be2d26,#6ba18a,#e99d2a,#5a86ad,#ac80a6,#74a6ad,#e0dbb7,#9b6c4a,#e84627,#95d8ba,#d0d150,#b8d3ed,#d19ecb,#93cfd7,#fff9d5
blazer,#d9e6f2,#0d1926,#000000,#c1ddff,#000000,#d9e6f2,#000000,#b87a7a,#7ab87a,#b8b87a,#7a7ab8,#b87ab8,#7ab8b8,#d9d9d9,#262626,#dbbdbd,#bddbbd,#dbdbbd,#bdbddb,#dbbddb,#bddbdb,#ffffff
